numberOfStudents,number
director,director
motto,motto
numberOfPostgraduateStudents,number
undergrad,number
officialSchoolColour,colour
colours,colour
outlook,rank
sport,sportsOffered
free,status
founder,creator
headquarters,headquarter
river,river
union,sportsGoverningBody
sportGoverningBody,sportsGoverningBody
author,author
isbn,ISBN_number
subsequentWork,successor
followedBy,successor
mediaType,type
numberOfPages,number
precededBy,predecessor
previousWork,predecessor
doctoralAdvisor,advisor
coden,CODEN_code
issn,ISSN_number
lccn,LCCN_number
abbreviation,abbreviation
academicDiscipline,discipline
discipline,discipline
publisher,publisher
history,date
firstPublicationYear,date
editor,editor
impact,impactFactor
oclc,OCLC_number
congress,LibraryofCongressClassification
literaryGenre,genre
eissn,EISSN_number
frequency,frequency
spokenIn,spokenIn
influencedBy,influencedBy
notableWork,notableWork
r5Surface,type
chief1Name,name
distributingCompany,company
gemstone,gemstone
affiliations,affiliation
numberOfRooms,number
network,broadcastedBy
firstAired,firstAired
series,series
served,served
protein,protein
productionEndYear,date
shipDraft,shipDraft
southeast,southeast
monarch,inOfficeWhileMonarch
rank,rank
militaryRank,rank
serviceStartYear,date
neighboringMunicipality,neighboringMunicipality
neighboringMunicipalities,neighboringMunicipality
patronSaint,patronSaint
mascot,mascot
architecture,architecture
children,child
child,child
northwest,northwest
campus,campus
servingSize,number
modelStartYear,date
